TpepPickupDatetime,TpepDropoffDatetime,PassengerCount,TripDistance,StoreAndFwdFlag,PULocationID,DOLocationID,FareAmount,TipAmount
1/1/2020 12:58:01 AM,1/1/2020 1:02:39 AM,1,0.64,No,170,233,-5,0
1/1/2020 12:58:01 AM,1/1/2020 1:02:39 AM,1,0.64,No,170,233,5,0
1/1/2020 12:10:44 AM,1/1/2020 12:18:38 AM,1,2.32,No,140,74,-9,0
1/1/2020 12:10:44 AM,1/1/2020 12:18:38 AM,1,2.32,No,140,74,9,0
1/1/2020 12:55:09 AM,1/1/2020 12:59:11 AM,1,0.5,No,79,79,4.5,1
1/1/2020 12:55:09 AM,1/1/2020 12:59:11 AM,1,0.65,No,148,144,4.5,1.66
1/1/2020 12:10:30 AM,1/1/2020 12:24:14 AM,1,6.96,No,229,196,-20,0
1/1/2020 12:10:30 AM,1/1/2020 12:24:14 AM,1,6.96,No,229,196,20,0
1/1/2020 12:28:04 AM,1/1/2020 12:34:33 AM,1,0.81,No,79,114,-6,0
1/1/2020 12:28:04 AM,1/1/2020 12:34:33 AM,1,0.81,No,79,113,6,0
1/1/2020 12:40:30 AM,1/1/2020 12:45:02 AM,2,0.8,No,42,41,-5.5,0
1/1/2020 12:40:30 AM,1/1/2020 12:45:02 AM,2,0.8,No,42,41,5.5,0
1/1/2020 12:08:13 AM,1/1/2020 12:08:27 AM,5,0,No,48,48,-2.5,0
1/1/2020 12:08:13 AM,1/1/2020 12:08:27 AM,5,0,No,48,48,2.5,0
1/1/2020 12:26:04 AM,1/1/2020 12:27:18 AM,1,0,No,234,234,-2.5,0
1/1/2020 12:26:04 AM,1/1/2020 12:27:18 AM,1,0,No,234,234,2.5,0
1/1/2020 12:59:37 AM,1/1/2020 1:05:42 AM,1,1,No,236,238,6.5,2.05
1/1/2020 12:59:37 AM,1/1/2020 1:05:42 AM,1,1.1,No,79,4,6,1.96
1/1/2020 12:01:42 AM,1/1/2020 12:05:13 AM,1,0.66,No,236,140,-4.5,0
1/1/2020 12:01:42 AM,1/1/2020 12:05:13 AM,1,0.66,No,236,140,4.5,0
1/1/2020 12:34:05 AM,1/1/2020 12:51:26 AM,1,6.77,No,157,141,21,4.96
1/1/2020 12:34:05 AM,1/1/2020 12:51:26 AM,1,9,No,161,138,26,7.18
1/1/2020 12:50:28 AM,1/1/2020 12:50:34 AM,2,0,No,79,79,-52,0
1/1/2020 12:50:28 AM,1/1/2020 12:50:34 AM,2,0,No,79,79,52,0
1/1/2020 12:17:45 AM,1/1/2020 12:20:55 AM,1,0.03,No,186,186,-4,0
